Year,Month,Plot,Block,Trt,Base_grass,Mass.loss,BR,SIR,NO3,aeMinN,Rye.per,TF.per,PG.per,Tim.per,WC.per,RC.per,Luc.per,Chi.per,Plan.per,Tot.Growth.Rate,Root_kg_DM_ha_top_0.1m,Root_kg_DM_ha_top_0.6m,Hawksbeard.per.tot,Dandelion.per.tot,Broadleaved.dock.per.tot,Musky.storksbill.per.tot,Chickweed.per.tot,ann.mouse.ear.chickweed.per.tot,poa.annua.per,Feve,Fdiv,Fric,CWM.LDMC,CWM.LeafThick,CWM.TN,CWM.X13C
2014,April,16,2,TFST,TF,66.66666667,2.050436674,16.58994453,71.5612823,3.179849259,26.40603567,36.43347051,0,0,3.100137174,0,0,0,0,4.07465738,998.6037721,2415.331759,0,5.411522634,0,0,0,0,0,0.317991509,0.574349829,2.717132214,181.4976248,0.223581815,31.6437306,-29.96170188
2014,April,18,2,TFHB,TF,56.55172414,0.452039349,18.1972377,38.53310572,3.834219366,19.04469045,21.05371054,3.136531365,7.995079951,0.758507585,0,0,11.35711357,19.16769168,9.602040292,1667.102556,2196.928299,0,2.25297253,0,0,0,0,0,0.346979176,0.694865196,3.681253792,157.9062477,0.238554563,31.95337979,-30.07235378
2014,April,19,2,RGLA,Rye,44.05594406,1.205490609,15.19913048,123.6542,2.753028115,65.79148611,0,0,0,0.764720877,0,0,0,0,5.212978193,3233.292187,3936.261878,0,0.56079531,0,0,0,0.700994137,0,0.517214151,0.994183126,4.088804203,174.0220599,0.180847811,30.57641798,-31.12330039
2014,April,20,2,RGLB,Rye,42.06896552,1.463893196,16.74612489,76.60083419,3.781811854,51.8311292,0,0,0,3.229908444,0,0,0,0,7.45842224,2974.234107,3707.990792,0,1.637843337,0,0,0,0,0,0.182208578,0.99117058,2.717132214,172.9651671,0.177863732,31.55558052,-31.00492166
2014,April,21,2,RGHB,Rye,54.54545455,0.63107485,13.21720662,81.70273315,2.680069788,32.29491173,0,0,0,0.59709242,0,0,39.36915888,0,6.548740774,3063.174311,3676.545956,0,0.789200415,0,0,0,0,0,0.081602249,0.809745703,2.717132214,131.901597,0.198056168,33.93434557,-30.13327328
2014,April,23,2,TFLB,TF,35.41666667,1.003094011,12.2402101,107.4132163,4.703077275,10.35383997,52.3522316,13.57056695,0,1.266586248,0,6.493767591,0,0,4.754251522,3187.243265,4370.832136,0,5.030156815,0,0,0,0,0,0.428645757,0.728177885,5.106240889,194.1075217,0.222375282,32.85948598,-29.67083179
2014,April,24,2,RGCO,Rye,46.85314685,0.970121124,17.82654938,176.8941681,-0.128107819,34.37366396,0,0.577169731,0,0.342026507,0,9.020949124,6.477126977,0.149636597,1.284322627,1951.684895,2192.718112,0,9.292432664,0,0,0,0,0,0.615736988,0.923435139,5.846546848,167.6898477,0.18147241,35.66684129,-30.41927402
2014,April,25,2,TFCO,TF,44.05594406,1.145824696,14.5249179,149.6300997,4.356408051,9.518426407,65.04634863,1.311327154,0,0,0,0.045218178,0,0,1.694267094,1752.095709,2156.405247,0,0,0,0,0,0,0,0.081898647,0.754482671,2.756525959,193.6133619,0.24923696,30.71232077,-29.55405003
2014,April,26,2,TFGR,TF,32.43243243,0.970930836,14.52092123,95.56447664,1.588400571,14.59901097,58.26703935,1.526553429,0,0.473016556,0,0,0,4.192646743,4.811427821,3217.372417,3799.562363,0,0,0,1.152440335,0,0,0,0.393842992,0.405709413,2.885953249,187.5112622,0.247722495,31.0065987,-29.72730232
2014,April,27,2,RGGR,Rye,19.58041958,1.057371418,9.91068104,132.6941183,2.99580127,62.18809981,0,0.959692898,0,0.466136551,0,0,0,0,2.343707446,5350.490066,5762.693705,0,6.745270085,0,0,0,0,0,0.545776652,0.976439628,2.717132214,169.9510997,0.184072721,30.76670219,-30.95853178
2014,April,29,3,TFHB,TF,48.32214765,0.529198314,15.45748279,75.68996526,4.193937863,2.774361077,43.0504305,1.96801968,0,0.396337297,0,0,11.466448,0,3.2519819,108.1491832,811.2504426,0,7.511275113,0,0,0,0,0,0.443814177,0.447990006,2.717132214,170.1312489,0.24382557,32.11596677,-29.36698338
2014,April,32,3,TFST,TF,51.02040816,1.211406172,15.79868749,46.75325076,2.695085362,3.982434888,57.75287704,0,0,0,0,0,0,0,0.890751786,1166.748123,1574.215301,0,2.24863719,0,0,0,0,0,0.913951001,0.311280355,0.377305407,192.1149771,0.255521521,30.83953569,-29.4070997
2014,April,33,3,TFLA,TF,29.8013245,2.086534809,11.2392393,42.86250761,2.656107761,0.410830999,52.54901961,0,0,0,0,0,0,0,2.246766293,1426.595613,1974.183083,0,0.168067227,0,0,0.168067227,0,0,0.026247687,0.232282768,0.911103325,195.5105219,0.260783754,30.76377883,-29.31010389
2014,April,36,3,RGLA,Rye,19.58041958,1.156711724,3.366824351,25.2443566,0.452391004,30.2842869,0,0,0,3.925300345,0,0,0,29.1304865,5.899253725,1891.55816,2297.972791,0,4.737718568,2.707267753,0,0,0,0.01189485,0.483750885,0.790494153,8.110263556,141.455137,0.260235338,33.18323011,-30.45578385
2014,April,37,3,RGCO,Rye,29.37062937,0.963997763,4.741751405,37.29020151,1.137746714,32.97150611,0,0,0,1.550688118,0,0,8.412483039,4.632680752,2.804779965,2821.088548,3099.092471,0,11.45958519,0,0,0,0,0,0.662036072,0.817485672,3.457438173,147.6452156,0.207458389,32.56825107,-30.37549195
2014,April,38,3,RGGR,Rye,59.33333333,1.948122126,12.17190098,40.6399214,0.193529872,56.70775925,0,0,0.048344211,2.248005801,0,0,3.166545806,0,2.225117171,1966.815256,2532.690726,1.058738216,7.411167513,0,0,0,0,0,0.563251187,0.876202094,3.499907028,164.7259837,0.186729929,31.5748203,-30.77375381
2014,April,39,3,TFCO,TF,45.51282051,1.608292234,9.444333484,34.60050542,1.580643411,7.094418362,48.47852547,1.095461659,0.191271083,0,0,2.138758477,3.268996696,6.95531212,3.66477626,1998.786364,2554.531072,0,3.006433664,0,0,0,0,0,0.493134948,0.423979583,4.92614774,179.0165396,0.251914555,32.09432701,-29.60990215
2014,April,40,3,TFGR,TF,49.64539007,2.441594634,13.12680156,26.04909606,2.058724521,15.40080352,40.80734647,0.440022958,3.386263631,0,0,0,0,0,4.847541858,2130.223146,2954.367286,0,0.321408073,0,0,0,0,0,0.722232474,0.619211399,0.736787447,191.7497658,0.232745749,30.53604249,-29.83457139
2014,April,41,3,RGHB,Rye,42.17687075,1.415952446,6.988692822,45.47922779,3.703283311,57.22961925,0,0,0,0,0,0,1.705209063,0,6.761581465,2383.097513,2724.912085,0,0,0,0,0,0,0,NA,NA,NA,172.2739967,0.17977144,30.54609531,-31.14502576
2014,April,42,3,TFLB,TF,49.33333333,1.912367913,9.344439649,49.57536455,2.110699926,16.28773761,33.75574606,0.111815132,0,0.65846689,0,2.820226115,0,0,7.298424262,1227.927405,2012.469473,0,8.937756243,0,0,0,0,0,0.456504358,0.778866245,5.106240889,181.5447151,0.228411944,32.43813525,-29.76916117
